"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1255117","DRIVER","8a7ee0ccd37a0e28999c0c40c4efb99ebe5b09594f56ba8d32a63c231b9d6e0dcd763cc8fc6236b8f8fd8c4eb036425d05aa6acc7f67477c1e6d161978eaeb51","JE493425","1191385","2021-12-30T21:50:00.000",,"PALATINE","IL","60074","M","56","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255264","DRIVER","ad65f355f3e29977454e43648e2dcfc70d23e4b87eadd2f82e40d4d384fc965cc14951c81c33ab21ed16c55c23816371d053d9a1dafafbfad90c1ac39e3704fe","JE493900","1191530","2021-12-30T21:30:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255265","DRIVER","ad65f355f3e29977454e43648e2dcfc70d23e4b87eadd2f82e40d4d384fc965cc14951c81c33ab21ed16c55c23816371d053d9a1dafafbfad90c1ac39e3704fe","JE493900","1191541","2021-12-30T21:30:00.000",,"LIBERTYVILLE","IL","60048","F","18","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280629","PASSENGER","ad65f355f3e29977454e43648e2dcfc70d23e4b87eadd2f82e40d4d384fc965cc14951c81c33ab21ed16c55c23816371d053d9a1dafafbfad90c1ac39e3704fe","JE493900","1191530","2021-12-30T21:30:00.000","3",,,,"F",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280630","PASSENGER","ad65f355f3e29977454e43648e2dcfc70d23e4b87eadd2f82e40d4d384fc965cc14951c81c33ab21ed16c55c23816371d053d9a1dafafbfad90c1ac39e3704fe","JE493900","1191530","2021-12-30T21:30:00.000","6",,,,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280632","PASSENGER","ad65f355f3e29977454e43648e2dcfc70d23e4b87eadd2f82e40d4d384fc965cc14951c81c33ab21ed16c55c23816371d053d9a1dafafbfad90c1ac39e3704fe","JE493900","1191541","2021-12-30T21:30:00.000","3",,,,"F","18",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255095","DRIVER","49f93020e6143908ab9b7e81a9d56a17fbf2e07d3db675b64f0554d1cd941b46fb59926d0cb8ba603bec90a9683e4b0e821d9a81dd1750dfc9de2f65dc80ecd5","JE493410","1191369","2021-12-30T21:25:00.000",,"NARRAGANSETT","RI","02882","F",,"RI",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSE/ON SCENE",,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255096","DRIVER","49f93020e6143908ab9b7e81a9d56a17fbf2e07d3db675b64f0554d1cd941b46fb59926d0cb8ba603bec90a9683e4b0e821d9a81dd1750dfc9de2f65dc80ecd5","JE493410","1191373","2021-12-30T21:25:00.000",,"CHICAGO","IL","60614","F","68","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSE/ON SCENE",,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280590","PASSENGER","49f93020e6143908ab9b7e81a9d56a17fbf2e07d3db675b64f0554d1cd941b46fb59926d0cb8ba603bec90a9683e4b0e821d9a81dd1750dfc9de2f65dc80ecd5","JE493410","1191369","2021-12-30T21:25:00.000","2","CHICAGO","IL","60644","M",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSE/ON SCENE",,,,,,,,,,,
"O1255097","DRIVER","598f3d2743d6610b4df42a16063095f19945199508d8c206acb3f2ee1aee5a0c23b0e9c5bcdd984d0b38a1db0af586b6f7cdc56c8e9b6cd0b0b3ec2d394af7a2","JE493436","1191368","2021-12-30T21:22:00.000",,"GLENWOOD","IL","60425","F","46","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"CELL PHONE USE OTHER THAN TEXTING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280591","PASSENGER","598f3d2743d6610b4df42a16063095f19945199508d8c206acb3f2ee1aee5a0c23b0e9c5bcdd984d0b38a1db0af586b6f7cdc56c8e9b6cd0b0b3ec2d394af7a2","JE493436","1191370","2021-12-30T21:22:00.000","1","CHICAGO","IL","60625","M","19",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NONINCAPACITATING INJURY","OWNER'S DISCRETION",,,,,,,,,,,
"O1255077","DRIVER","4c485fdacc68a780eaa5afd322a9f3930caa0ca00484d701f2967f2e16aba2e8944e9d89e145bc4ebd75c28bf1be2f615015c898cf70c6b0769e28bb298cd4fe","JE493404","1191355","2021-12-30T21:20:00.000",,"CHICAGO","IL",,"F","61","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280580","PASSENGER","4c485fdacc68a780eaa5afd322a9f3930caa0ca00484d701f2967f2e16aba2e8944e9d89e145bc4ebd75c28bf1be2f615015c898cf70c6b0769e28bb298cd4fe","JE493404","1191351","2021-12-30T21:20:00.000","1","CHICAGO","IL",,"F","28",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280581","PASSENGER","4c485fdacc68a780eaa5afd322a9f3930caa0ca00484d701f2967f2e16aba2e8944e9d89e145bc4ebd75c28bf1be2f615015c898cf70c6b0769e28bb298cd4fe","JE493404","1191351","2021-12-30T21:20:00.000","3",,,,,,,,"NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255088","DRIVER","4da36913749e64360eb1ce8e7cdf39bf6300776ec9290e0eb48ccac029c094ab50850cfaa0aec7dfffd2df3c814c2fa3067c8cdd60d5ccf53a726a2e70aae2fa","JE493422","1191362","2021-12-30T21:18:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255074","DRIVER","d6c6cb023850d2c183914a2aa6410a321b49bd0fb3bd106b7e5864fdbda371b716d07f1fe84f872a7fca7a90b12528eec54a6e1520f583d65b647b73a916e4a0","JE493388","1191350","2021-12-30T21:03:00.000",,,,,"F",,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","IMPAIRED - ALCOHOL",,,,"TEST NOT OFFERED",,
"O1255078","DRIVER","85cb50ee4a616ea80685969d0dc9e228eb22ae3462c576079b197417c8325915257e16222e92a52a6e3edf2f3f57e47a40b70ab42509c4504ed5f7d7d76578ea","JE493379","1191352","2021-12-30T20:50:00.000",,"CHICAGO","IL","60645","F","37","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255079","DRIVER","85cb50ee4a616ea80685969d0dc9e228eb22ae3462c576079b197417c8325915257e16222e92a52a6e3edf2f3f57e47a40b70ab42509c4504ed5f7d7d76578ea","JE493379","1191358","2021-12-30T20:50:00.000",,"CHICAGO","IL","60634","F","24","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NONINCAPACITATING INJURY","ILLINOIS MASONIC ADVOCATE HOSPITAL","CFD",,"CELL PHONE USE OTHER THAN TEXTING","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280582","PASSENGER","85cb50ee4a616ea80685969d0dc9e228eb22ae3462c576079b197417c8325915257e16222e92a52a6e3edf2f3f57e47a40b70ab42509c4504ed5f7d7d76578ea","JE493379","1191352","2021-12-30T20:50:00.000","3",,,,"F","23",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255991","DRIVER","237bd85c49c064ab3443571f86de2524d27c9f684334a1d753ef38a2189e1d9d822113ff2f3b0bb0c2fec3bf36288e7dcd3f1a7b63b3838c74a5e8c8fe3317f9","JF100625","1192185","2021-12-30T20:49:00.000",,,,,"F",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255992","DRIVER","237bd85c49c064ab3443571f86de2524d27c9f684334a1d753ef38a2189e1d9d822113ff2f3b0bb0c2fec3bf36288e7dcd3f1a7b63b3838c74a5e8c8fe3317f9","JF100625","1192188","2021-12-30T20:49:00.000",,"CHICAGO","IL","60634","F","22","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255069","DRIVER","dbdcba4e31377a632ed65b85c4a004ca75ab3138ee34926c0d1b6b0d93da31ebcf0290536b589fe4211a3a229c6037acdcd29b6fc012f3f2f45ec1a9e5346184","JE493372","1191346","2021-12-30T20:40:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255070","DRIVER","dbdcba4e31377a632ed65b85c4a004ca75ab3138ee34926c0d1b6b0d93da31ebcf0290536b589fe4211a3a229c6037acdcd29b6fc012f3f2f45ec1a9e5346184","JE493372","1191349","2021-12-30T20:40:00.000",,"CHICAGO","IL",,"M","41","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1258691","DRIVER","2b6a3e5b1966dea44baac62478e30bedcd2a82ed5a18ef042f16dad95df8692af8af89fe2279c952ffaf7106fa5edcd6a469109f8b1d09df58c8cdbaf2997c9e","JF105366","1194783","2021-12-30T20:35:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1258692","DRIVER","2b6a3e5b1966dea44baac62478e30bedcd2a82ed5a18ef042f16dad95df8692af8af89fe2279c952ffaf7106fa5edcd6a469109f8b1d09df58c8cdbaf2997c9e","JF105366","1194790","2021-12-30T20:35:00.000",,"DARIEN","IL","60561","F","39",,"D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1258709","DRIVER","2b6a3e5b1966dea44baac62478e30bedcd2a82ed5a18ef042f16dad95df8692af8af89fe2279c952ffaf7106fa5edcd6a469109f8b1d09df58c8cdbaf2997c9e","JF105366","1194798","2021-12-30T20:35:00.000",,"CHICAGO","IL","60018","M","25","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P281307","PASSENGER","2b6a3e5b1966dea44baac62478e30bedcd2a82ed5a18ef042f16dad95df8692af8af89fe2279c952ffaf7106fa5edcd6a469109f8b1d09df58c8cdbaf2997c9e","JF105366","1194790","2021-12-30T20:35:00.000","3","CHICAGO","IL","60649","M","27",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1257162","DRIVER","18242fd4aafa414575e9de0e89861bfef057675375cc040859c8aa745912527966e58ac90c87190fe5e851e7b23eed60575ea4614ec2c1a54ea6a676532ed923","JF102553","1193350","2021-12-30T20:30:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255087","DRIVER","42158557d83d10ecca2b65fd062778ab6e75e5dd78138cb0b5e15beb57fc8a826f40ef166817ed83fca097db64666333d83e1a94b74cd78ae5637855bd5a722e","JE493427","1191360","2021-12-30T20:15:00.000",,,,"60628","M","32",,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255058","DRIVER","e98dff0540c74045656c8a0451628b2de8b36dc6ca80c04eabb31c9739dbe940d1fa9ff8b17c8bad2f4527633a5911c4a23c015e0eff3a39a2f65e9aab7980a4","JE493370","1191336","2021-12-30T20:14:00.000",,"CHICAGO","IL","60639","M","54","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255059","DRIVER","e98dff0540c74045656c8a0451628b2de8b36dc6ca80c04eabb31c9739dbe940d1fa9ff8b17c8bad2f4527633a5911c4a23c015e0eff3a39a2f65e9aab7980a4","JE493370","1191340","2021-12-30T20:14:00.000",,"HERWOOD HIGHTS","IL","60706","F","19","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255060","DRIVER","660f3dad33b0b4089cea11061bc25edb3220d0a587502eb20ef9182f1f03738f2bf0576b77f1df9f18310bc4fca7426c8106e217c1123bd1ce9cf94e62cc401e","JE493345","1191333","2021-12-30T20:07:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255061","DRIVER","660f3dad33b0b4089cea11061bc25edb3220d0a587502eb20ef9182f1f03738f2bf0576b77f1df9f18310bc4fca7426c8106e217c1123bd1ce9cf94e62cc401e","JE493345","1191338","2021-12-30T20:07:00.000",,"CHICAGO","IL","60623","F",,"IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","REPORTED, NOT EVIDENT","MT SINAI HOSPITAL","CFD EMS 33",,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255092","DRIVER","5e99f23fc26e43bc60a7c874d07ee27d4d905db0e92bc329e5c117a3d9eec3f4883bb1d44d563541c9ce86ce58ea1256c60a31dcd1d91b923949aae484b4d9c3","JE493362","1191367","2021-12-30T20:06:00.000",,"FAIRFIELD","IL","62837","F","23","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT","DECLINED EMS","CFD",,"DISREGARDED CONTROL DEVICES","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255093","DRIVER","5e99f23fc26e43bc60a7c874d07ee27d4d905db0e92bc329e5c117a3d9eec3f4883bb1d44d563541c9ce86ce58ea1256c60a31dcd1d91b923949aae484b4d9c3","JE493362","1191372","2021-12-30T20:06:00.000",,"CHICAGO","IL","60619","M","82","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NONINCAPACITATING INJURY","TRINITY","CFD",,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255094","DRIVER","5e99f23fc26e43bc60a7c874d07ee27d4d905db0e92bc329e5c117a3d9eec3f4883bb1d44d563541c9ce86ce58ea1256c60a31dcd1d91b923949aae484b4d9c3","JE493362","1191374","2021-12-30T20:06:00.000",,"GARY","IN","46407","M","25","IN",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NONINCAPACITATING INJURY","CHRIST","CFD AMBO 60",,"OTHER","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280588","PASSENGER","5e99f23fc26e43bc60a7c874d07ee27d4d905db0e92bc329e5c117a3d9eec3f4883bb1d44d563541c9ce86ce58ea1256c60a31dcd1d91b923949aae484b4d9c3","JE493362","1191367","2021-12-30T20:06:00.000","3","FAIRFIELD","IL","62837","M","4",,,"NONE PRESENT","DEPLOYED, COMBINATION","NONE","INCAPACITATING INJURY","COMERS","CFD AMB 37",,,,,,,,,,
"P280589","PASSENGER","5e99f23fc26e43bc60a7c874d07ee27d4d905db0e92bc329e5c117a3d9eec3f4883bb1d44d563541c9ce86ce58ea1256c60a31dcd1d91b923949aae484b4d9c3","JE493362","1191367","2021-12-30T20:06:00.000","3","FAIRFIELD","IL","68237","M","2",,,"NONE PRESENT","DEPLOYED, COMBINATION","NONE","INCAPACITATING INJURY","COMERS","CFD AMBO 22",,,,,,,,,,
"O1255071","DRIVER","3ccf751b152316b0099b918ea704de78110dc9dcf00b81f5d9f9999f04c16aaaec4f5577b4338ccd9418c3412ce97904b9bff18ecf07aa9523121a2a53fa1be4","JE493337","1191344","2021-12-30T19:50:00.000",,"CHICAGO","IL","60629","F","31",,,"NONE PRESENT","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","FATIGUED/ASLEEP",,,,"TEST NOT OFFERED",,
"O1255072","DRIVER","3ccf751b152316b0099b918ea704de78110dc9dcf00b81f5d9f9999f04c16aaaec4f5577b4338ccd9418c3412ce97904b9bff18ecf07aa9523121a2a53fa1be4","JE493337","1191345","2021-12-30T19:50:00.000",,"CHICAGO","IL","60620","M","35","IL",,"NONE PRESENT","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P280579","PASSENGER","3ccf751b152316b0099b918ea704de78110dc9dcf00b81f5d9f9999f04c16aaaec4f5577b4338ccd9418c3412ce97904b9bff18ecf07aa9523121a2a53fa1be4","JE493337","1191345","2021-12-30T19:50:00.000","3","CHICAGO","IL","60620","M","41",,,"NONE PRESENT","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255080","DRIVER","b2d6acc029aa167909b8d10b840b3e3a90348def671b912c641811bd09ceaa3bd760b924a6a45b40a7ed49f3865c367d0d83419ea03a038bb235db13b2c35526","JE493407","1191353","2021-12-30T19:50:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255081","DRIVER","b2d6acc029aa167909b8d10b840b3e3a90348def671b912c641811bd09ceaa3bd760b924a6a45b40a7ed49f3865c367d0d83419ea03a038bb235db13b2c35526","JE493407","1191357","2021-12-30T19:50:00.000",,"OCEAN SHORES","WA","98569-9412","M","23","WA",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255050","DRIVER","a602b07157b0024dedc0d584b8a182220122f0d3ab686cfcbb7d792adad3d11d0e4eaf57f479d64dfc085c2f591c8d3d0fadcdc4ab81d99e2b79652f0a3f243c","JE493344","1191322","2021-12-30T19:45:00.000",,"CHICAGO","IL","60620","M","60",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","ILLNESS/FAINTED",,,,"TEST NOT OFFERED",,
"O1255051","DRIVER","a602b07157b0024dedc0d584b8a182220122f0d3ab686cfcbb7d792adad3d11d0e4eaf57f479d64dfc085c2f591c8d3d0fadcdc4ab81d99e2b79652f0a3f243c","JE493344","1191325","2021-12-30T19:45:00.000",,"ROUND LAKE BEACH","IL","60073","F","43",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280577","PASSENGER","a602b07157b0024dedc0d584b8a182220122f0d3ab686cfcbb7d792adad3d11d0e4eaf57f479d64dfc085c2f591c8d3d0fadcdc4ab81d99e2b79652f0a3f243c","JE493344","1191325","2021-12-30T19:45:00.000","3",,,,,,,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255099","DRIVER","f1e08f7e5f5813c9fc51037bc1a3fe56981d53a5e540139cc4861bb6a5644b4c05ea219d603a80bc0213a3f2a6b98c1f9627e10628b3e048511172563704b91a","JE493361","1191378","2021-12-30T19:45:00.000",,"CHICAGO","IL","60619","M","34","IL",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255100","DRIVER","f1e08f7e5f5813c9fc51037bc1a3fe56981d53a5e540139cc4861bb6a5644b4c05ea219d603a80bc0213a3f2a6b98c1f9627e10628b3e048511172563704b91a","JE493361","1191386","2021-12-30T19:45:00.000",,"CHICAGO","IL","60827","F","31","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280598","PASSENGER","f1e08f7e5f5813c9fc51037bc1a3fe56981d53a5e540139cc4861bb6a5644b4c05ea219d603a80bc0213a3f2a6b98c1f9627e10628b3e048511172563704b91a","JE493361","1191378","2021-12-30T19:45:00.000","3","EAST CHICAGO","IN","46312","F","22",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1256282","DRIVER","ca2107567bf31d485313b836e6bc56ed19b72aa85745846a70346fb75994db71d7fbe159120822378f7ff1a9d4b25dfe01a1b77d60c3fe82115c3c503d614fdb","JF101196","1192465","2021-12-30T19:30:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255046","DRIVER","e6cb76b7335fe82e9ea0761778412e476610b730f476081cbeba4c9f1245def1a0dd21a72764af806caf8a8d295c7e8a7cc91f04b29352a2be2687ddd2b22a60","JE493354","1191319","2021-12-30T19:30:00.000",,"CHICAGO","IL","60659","M","38","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255047","DRIVER","e6cb76b7335fe82e9ea0761778412e476610b730f476081cbeba4c9f1245def1a0dd21a72764af806caf8a8d295c7e8a7cc91f04b29352a2be2687ddd2b22a60","JE493354","1191323","2021-12-30T19:30:00.000",,"CHICAGO","IL","60641","M","40","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255031","DRIVER","115349f24b3342680e086bf68e0b8bfde3379c5645d1f1695455686f0f5708a7005a49e22311f1dfcccfb078f3796a4c5cf45c8359bf1f58dfd060189b705568","JE493318","1191306","2021-12-30T19:20:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255041","PEDESTRIAN","115349f24b3342680e086bf68e0b8bfde3379c5645d1f1695455686f0f5708a7005a49e22311f1dfcccfb078f3796a4c5cf45c8359bf1f58dfd060189b705568","JE493318",,"2021-12-30T19:20:00.000",,"CHICAGO","IL","60626","M","46",,,"NONE PRESENT",,,"NONINCAPACITATING INJURY",,,,,,,"CROSSING - WITH SIGNAL","NO CONTRASTING CLOTHING","IN CROSSWALK",,,
"O1255021","DRIVER","33d2bb1538f5ea59f28e14f3e76b4c758124993598e8139ee8ef6ef90b199755fe3946651989c72e3cef489569ebf1e7b9f3f9e004831e4408e44fdf1d9734cf","JE493320","1191308","2021-12-30T19:20:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","UNKNOWN",,,,"TEST REFUSED",,
"O1255022","DRIVER","33d2bb1538f5ea59f28e14f3e76b4c758124993598e8139ee8ef6ef90b199755fe3946651989c72e3cef489569ebf1e7b9f3f9e004831e4408e44fdf1d9734cf","JE493320","1191299","2021-12-30T19:20:00.000",,"CHICAGO","IL","60640","M","50","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280567","PASSENGER","33d2bb1538f5ea59f28e14f3e76b4c758124993598e8139ee8ef6ef90b199755fe3946651989c72e3cef489569ebf1e7b9f3f9e004831e4408e44fdf1d9734cf","JE493320","1191299","2021-12-30T19:20:00.000","6","CHICAGO","IL","60640","F","22",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280568","PASSENGER","33d2bb1538f5ea59f28e14f3e76b4c758124993598e8139ee8ef6ef90b199755fe3946651989c72e3cef489569ebf1e7b9f3f9e004831e4408e44fdf1d9734cf","JE493320","1191299","2021-12-30T19:20:00.000","5","CHICAGO","IL","60640","F","19",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280569","PASSENGER","33d2bb1538f5ea59f28e14f3e76b4c758124993598e8139ee8ef6ef90b199755fe3946651989c72e3cef489569ebf1e7b9f3f9e004831e4408e44fdf1d9734cf","JE493320","1191299","2021-12-30T19:20:00.000","4","CHICAGO","IL","60640","F","43",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280570","PASSENGER","33d2bb1538f5ea59f28e14f3e76b4c758124993598e8139ee8ef6ef90b199755fe3946651989c72e3cef489569ebf1e7b9f3f9e004831e4408e44fdf1d9734cf","JE493320","1191299","2021-12-30T19:20:00.000","3","CHICAGO","IL","60640","M","82",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280572","PASSENGER","33d2bb1538f5ea59f28e14f3e76b4c758124993598e8139ee8ef6ef90b199755fe3946651989c72e3cef489569ebf1e7b9f3f9e004831e4408e44fdf1d9734cf","JE493320","1191308","2021-12-30T19:20:00.000","3",,,,"F",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
